run_name,group,config_path,seed,method_tags,expected_epochs,priority
proto_reweight_missinggps_w15_es20_seed2,C,configs/scene31/night_grid/proto_reweight_missinggps_w15_es20_seed2.yaml,2,"reweight,missing_gps,w1.5",20,medium
proto_reweight_hardall_w15_es20_seed1,C,configs/scene31/night_grid/proto_reweight_hardall_w15_es20_seed1.yaml,1,"reweight,hard_all,w1.5",20,medium
proto_reweight_hardall_w15_es20_seed2,C,configs/scene31/night_grid/proto_reweight_hardall_w15_es20_seed2.yaml,2,"reweight,hard_all,w1.5",20,medium
proto_maskadapter_d16_es20_seed1,D,configs/scene31/night_grid/proto_maskadapter_d16_es20_seed1.yaml,1,"mask_adapter,d16",20,high
proto_maskadapter_d16_es20_seed2,D,configs/scene31/night_grid/proto_maskadapter_d16_es20_seed2.yaml,2,"mask_adapter,d16",20,high
proto_maskadapter_d32_es20_seed1,D,configs/scene31/night_grid/proto_maskadapter_d32_es20_seed1.yaml,1,"mask_adapter,d32",20,medium
proto_maskadapter_d32_es20_seed2,D,configs/scene31/night_grid/proto_maskadapter_d32_es20_seed2.yaml,2,"mask_adapter,d32",20,medium
proto_maskadapter_d16_condbtapa_weaksingle_es20_seed1,D,configs/scene31/night_grid/proto_maskadapter_d16_condbtapa_weaksingle_es20_seed1.yaml,1,"mask_adapter,d16,condbtapa,weak_single",20,high
proto_maskadapter_d16_condbtapa_weaksingle_es20_seed2,D,configs/scene31/night_grid/proto_maskadapter_d16_condbtapa_weaksingle_es20_seed2.yaml,2,"mask_adapter,d16,condbtapa,weak_single",20,high
proto_maskadapter_d32_condbtapa_weaksingle_es20_seed1,D,configs/scene31/night_grid/proto_maskadapter_d32_condbtapa_weaksingle_es20_seed1.yaml,1,"mask_adapter,d32,condbtapa,weak_single",20,medium
proto_maskadapter_d32_condbtapa_weaksingle_es20_seed2,D,configs/scene31/night_grid/proto_maskadapter_d32_condbtapa_weaksingle_es20_seed2.yaml,2,"mask_adapter,d32,condbtapa,weak_single",20,medium
proto_weakkd_weaksingle_l005_t2_es20_seed1,E,configs/scene31/night_grid/proto_weakkd_weaksingle_l005_t2_es20_seed1.yaml,1,"weak_kd,weak_single,l0.05,t2",20,low
proto_weakkd_weaksingle_l005_t2_es20_seed2,E,configs/scene31/night_grid/proto_weakkd_weaksingle_l005_t2_es20_seed2.yaml,2,"weak_kd,weak_single,l0.05,t2",20,low
proto_weakkd_weaksingle_l01_t2_es20_seed1,E,configs/scene31/night_grid/proto_weakkd_weaksingle_l01_t2_es20_seed1.yaml,1,"weak_kd,weak_single,l0.1,t2",20,low
proto_weakkd_weaksingle_l01_t2_es20_seed2,E,configs/scene31/night_grid/proto_weakkd_weaksingle_l01_t2_es20_seed2.yaml,2,"weak_kd,weak_single,l0.1,t2",20,low
proto_weakkd_sensingonly_l01_t2_es20_seed1,E,configs/scene31/night_grid/proto_weakkd_sensingonly_l01_t2_es20_seed1.yaml,1,"weak_kd,sensing_only,l0.1,t2",20,low
proto_weakkd_sensingonly_l01_t2_es20_seed2,E,configs/scene31/night_grid/proto_weakkd_sensingonly_l01_t2_es20_seed2.yaml,2,"weak_kd,sensing_only,l0.1,t2",20,low
proto_weakkd_hardall_l01_t15_es20_seed1,E,configs/scene31/night_grid/proto_weakkd_hardall_l01_t15_es20_seed1.yaml,1,"weak_kd,hard_all,l0.1,t1.5",20,low
proto_weakkd_hardall_l01_t15_es20_seed2,E,configs/scene31/night_grid/proto_weakkd_hardall_l01_t15_es20_seed2.yaml,2,"weak_kd,hard_all,l0.1,t1.5",20,low
proto_latpred_fullh_weaksingle_l001_es20_seed1,F,configs/scene31/night_grid/proto_latpred_fullh_weaksingle_l001_es20_seed1.yaml,1,"latent_pred,full_fused,weak_single,l0.01",20,low
proto_latpred_fullh_weaksingle_l001_es20_seed2,F,configs/scene31/night_grid/proto_latpred_fullh_weaksingle_l001_es20_seed2.yaml,2,"latent_pred,full_fused,weak_single,l0.01",20,low
proto_latpred_fullh_weaksingle_l005_es20_seed1,F,configs/scene31/night_grid/proto_latpred_fullh_weaksingle_l005_es20_seed1.yaml,1,"latent_pred,full_fused,weak_single,l0.05",20,low
proto_latpred_fullh_weaksingle_l005_es20_seed2,F,configs/scene31/night_grid/proto_latpred_fullh_weaksingle_l005_es20_seed2.yaml,2,"latent_pred,full_fused,weak_single,l0.05",20,low
proto_latpred_proto_weaksingle_l001_es20_seed1,F,configs/scene31/night_grid/proto_latpred_proto_weaksingle_l001_es20_seed1.yaml,1,"latent_pred,prototype_distribution,weak_single,l0.01",20,low
proto_latpred_proto_weaksingle_l001_es20_seed2,F,configs/scene31/night_grid/proto_latpred_proto_weaksingle_l001_es20_seed2.yaml,2,"latent_pred,prototype_distribution,weak_single,l0.01",20,low
