run_name,group,config_path,seed,method_tags,expected_epochs,priority,execution_mode
scenes31_34_proto_natural_es40_seed1,quick_seed1,configs/scene31/scenes31_34_subset_reliability/scenes31_34_proto_natural_es40_seed1.yaml,1,"scenes31_34,proto,natural,es40",40,high,train
scenes31_34_proto_sampler_uniform_es40_seed1,quick_seed1,configs/scene31/scenes31_34_subset_reliability/scenes31_34_proto_sampler_uniform_es40_seed1.yaml,1,"scenes31_34,proto,sampler,uniform,es40",40,high,train
scenes31_34_proto_randomdrop_subset_es40_seed1,quick_seed1,configs/scene31/scenes31_34_subset_reliability/scenes31_34_proto_randomdrop_subset_es40_seed1.yaml,1,"scenes31_34,proto,randomdrop_subset,es40",40,high,train
scenes31_34_proto_randomdrop_subset_reliability_fusion_es40_seed1,quick_seed1,configs/scene31/scenes31_34_subset_reliability/scenes31_34_proto_randomdrop_subset_reliability_fusion_es40_seed1.yaml,1,"scenes31_34,proto,randomdrop_subset,reliability_fusion,mask_weighted,es40",40,high,train
scenes31_34_proto_randomdrop_subset_es40_seed2,subset_vs_reliability_seed123,configs/scene31/scenes31_34_subset_reliability/scenes31_34_proto_randomdrop_subset_es40_seed2.yaml,2,"scenes31_34,proto,randomdrop_subset,es40",40,high,train
scenes31_34_proto_randomdrop_subset_reliability_fusion_es40_seed2,subset_vs_reliability_seed123,configs/scene31/scenes31_34_subset_reliability/scenes31_34_proto_randomdrop_subset_reliability_fusion_es40_seed2.yaml,2,"scenes31_34,proto,randomdrop_subset,reliability_fusion,mask_weighted,es40",40,high,train
scenes31_34_proto_randomdrop_subset_es40_seed3,subset_vs_reliability_seed123,configs/scene31/scenes31_34_subset_reliability/scenes31_34_proto_randomdrop_subset_es40_seed3.yaml,3,"scenes31_34,proto,randomdrop_subset,es40",40,high,train
scenes31_34_proto_randomdrop_subset_reliability_fusion_es40_seed3,subset_vs_reliability_seed123,configs/scene31/scenes31_34_subset_reliability/scenes31_34_proto_randomdrop_subset_reliability_fusion_es40_seed3.yaml,3,"scenes31_34,proto,randomdrop_subset,reliability_fusion,mask_weighted,es40",40,high,train
